eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
s,mauris sit,nibh quisque id,convallis morbi odio odio elementum,r,in hac habitasse,USD,98.1,690.32,824.17,convallis nunc proin at,5.42,293.39,768.15,736.42,turpis sed,nibh fusce lacus,8.28,s,dolor sit,venenatis non,vestibulum sed magna at nunc commodo placerat,r,nec dui,USD,789.69,942.91,101.91,ss,rr
o,tincidunt,quam fringilla,pede justo lacinia eget tincidunt eget tempus,i,sociis natoque penatibus,USD,946.07,675.34,794.55,in faucibus orci luctus,8.56,939.0,965.57,349.54,elit,sapien placerat,4.54,s,mattis nibh,posuere cubilia,ut erat curabitur gravida nisi at nibh,r,nisl duis bibendum,kg,605.11,841.41,621.25,os,ir
r,in faucibus,morbi quis tortor,risus praesent lectus vestibulum quam,i,lectus pellentesque eget,USD,829.43,200.96,190.69,in ante vestibulum ante,1.69,632.33,386.39,711.39,nisi at,ante ipsum primis,8.75,r,nulla pede,sem fusce,vitae nisi nam ultrices libero non mattis,o,penatibus et,USD,633.61,303.16,950.5,rr,io
s,eget,vestibulum sagittis,turpis a pede posuere nonummy integer,s,dapibus dolor vel,%,897.35,415.35,493.41,nam congue risus semper,8.91,196.88,872.28,211.85,ac,non velit donec,7.75,p,ipsum,pede ullamcorper augue,non mattis pulvinar nulla pede ullamcorper augue,i,vitae mattis,kg,953.86,540.27,324.6,sp,si
o,vel lectus,pellentesque viverra,nibh quisque id justo sit amet,s,blandit ultrices enim,%,607.77,690.86,240.51,sem sed sagittis,4.66,681.96,402.07,152.72,nulla integer,congue risus semper,7.62,s,vel,neque aenean auctor,tellus nisi eu orci mauris lacinia sapien,s,platea dictumst etiam,kg,267.45,189.25,356.85,os,ss
p,nec,curae nulla,ut ultrices vel augue vestibulum,r,ut suscipit a,%,579.92,9.71,812.61,ullamcorper augue a,9.39,278.01,816.95,119.83,sed sagittis,congue vivamus metus,0.66,i,sagittis,at turpis a,in faucibus orci luctus et ultrices posuere,s,felis ut,kg,77.95,467.28,739.13,pi,rs
r,neque,habitasse platea dictumst,sem fusce consequat nulla nisl,s,urna pretium,USD,64.29,831.73,81.15,lobortis convallis tortor risus,6.56,533.6,46.39,535.11,molestie,tortor id nulla,0.76,p,sit amet,pellentesque quisque,cubilia curae donec pharetra magna vestibulum aliquet,s,cubilia curae donec,m,590.77,686.37,331.52,rp,ss
o,sollicitudin vitae,in est,mus etiam vel augue vestibulum rutrum rutrum,s,non velit donec,USD,77.7,879.34,451.51,quis lectus suspendisse potenti,2.54,328.51,825.19,226.93,mi sit,mauris viverra,9.35,i,a suscipit,in sapien iaculis,vel enim sit amet nunc viverra dapibus,s,bibendum imperdiet,m,860.43,390.08,43.17,oi,ss
o,mauris,nibh in hac,velit donec diam neque vestibulum,i,sapien arcu sed,m,153.9,963.01,812.95,pulvinar nulla pede ullamcorper,9.58,721.87,531.75,79.6,turpis,aliquam augue quam,9.19,i,ut erat,leo pellentesque ultrices,et eros vestibulum ac est lacinia nisi,s,justo pellentesque,%,698.66,343.3,740.9,oi,is
o,sodales sed,non quam nec,sapien dignissim vestibulum vestibulum ante ipsum primis,r,lacinia erat vestibulum,m,679.13,925.27,31.09,a feugiat et eros,1.79,659.14,677.43,434.71,odio,nulla integer,0.42,i,et,odio elementum,nibh in hac habitasse platea dictumst aliquam,r,tellus in sagittis,%,433.29,331.62,197.59,oi,rr
s,dapibus duis,dictumst maecenas,interdum in ante vestibulum ante,s,porttitor pede justo,m,95.96,500.36,295.42,amet justo morbi,3.99,144.25,246.9,692.55,risus,nec nisi vulputate,9.91,r,sed ante,sapien varius ut,posuere metus vitae ipsum aliquam non mauris,s,mattis odio donec,m,598.02,534.13,809.03,sr,ss
s,maecenas,condimentum id luctus,sit amet sapien dignissim vestibulum vestibulum,o,maecenas ut massa,%,125.26,513.74,879.03,imperdiet nullam orci,5.46,51.17,42.43,507.8,turpis,eget eleifend,2.91,s,etiam vel,imperdiet nullam,iaculis congue vivamus metus arcu adipiscing molestie,i,libero rutrum ac,kg,223.87,80.0,269.8,ss,oi
r,vestibulum,consectetuer adipiscing,risus praesent lectus vestibulum quam sapien varius,o,volutpat eleifend donec,kg,614.02,117.29,91.24,lorem ipsum dolor sit,2.34,427.68,220.61,41.48,sit,tempus sit amet,0.69,r,lacus,diam vitae,libero convallis eget eleifend luctus ultricies eu,r,vestibulum ac,m,825.45,282.19,53.1,rr,or
s,duis bibendum,semper rutrum,lorem integer tincidunt ante vel,r,id nisl venenatis,m,821.71,355.68,529.94,rutrum ac lobortis,2.2,636.89,289.17,842.56,vivamus,in faucibus orci luctus,7.68,r,turpis a,in faucibus orci,in faucibus orci luctus et ultrices posuere,i,mauris eget massa,kg,66.45,684.44,76.08,sr,ri
r,pulvinar nulla,in consequat,vestibulum proin eu mi nulla ac enim,s,iaculis justo in,m,616.8,303.33,103.43,fringilla rhoncus mauris enim,8.78,796.05,159.39,610.01,nulla ut,ut rhoncus aliquet,2.71,s,augue aliquam,sit amet sem,suspendisse potenti in eleifend quam a odio,r,ante ipsum,kg,125.18,209.92,448.19,rs,sr
o,sem sed,porta volutpat,blandit lacinia erat vestibulum sed,i,parturient montes,%,55.72,597.3,990.04,ac enim in tempor,5.55,796.53,462.22,92.04,varius ut,platea dictumst,8.58,o,eros suspendisse,lorem integer tincidunt,ipsum primis in faucibus orci luctus et,s,pede venenatis,%,700.72,107.16,280.63,oo,is
p,mus vivamus,sagittis nam,sit amet turpis elementum ligula,p,at vulputate vitae,%,69.31,438.08,327.46,consequat metus sapien,7.68,176.75,836.65,834.61,consequat,posuere metus,8.51,o,amet sem,cursus urna ut,in tempus sit amet sem fusce consequat,o,venenatis tristique fusce,USD,411.58,142.44,992.12,po,po
r,turpis,condimentum curabitur,convallis nunc proin at turpis a pede,r,mi sit,kg,566.01,815.24,123.38,quis justo maecenas,2.44,847.72,915.24,987.71,in sapien,consectetuer eget,4.26,o,porttitor,ultrices posuere,eget semper rutrum nulla nunc purus phasellus,r,ipsum aliquam,USD,251.23,838.49,866.39,ro,rr
