eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
r,nunc,nunc rhoncus,massa id nisl venenatis lacinia aenean,s,odio elementum eu,m,545.44,659.11,700.19,rutrum rutrum neque aenean,3.0,867.2,234.19,469.54,sollicitudin ut,diam neque vestibulum,5.89,s,ante,est congue,lorem vitae mattis nibh ligula nec sem,p,et ultrices,kg,648.91,640.06,872.83,rs,sp
r,lacinia aenean,ac nulla,sem sed sagittis nam congue risus,s,vitae consectetuer,%,476.57,405.46,390.22,odio curabitur convallis,3.56,64.29,860.69,965.24,pulvinar lobortis,neque aenean auctor gravida,6.53,r,libero,quis turpis,hac habitasse platea dictumst etiam faucibus cursus,o,habitasse platea dictumst,m,55.09,75.76,653.48,rr,so
r,a odio,at turpis,dolor sit amet consectetuer adipiscing elit proin,o,ultrices posuere,kg,124.16,337.7,71.3,id luctus nec,2.84,124.52,350.23,640.07,cras non,blandit non interdum,2.32,s,hac,iaculis justo,quisque porta volutpat erat quisque erat eros,o,augue quam,kg,57.49,148.44,747.79,rs,oo
s,amet,et magnis,magna vulputate luctus cum sociis natoque penatibus,s,fusce consequat,m,652.41,785.23,661.84,ipsum praesent blandit lacinia,4.84,711.81,257.47,977.06,nec euismod,felis eu sapien,3.65,s,pede,vel pede,ac neque duis bibendum morbi non quam,o,bibendum imperdiet nullam,m,353.71,605.64,391.22,ss,so
i,justo,eros suspendisse accumsan,odio odio elementum eu interdum eu tincidunt,i,luctus et,m,45.55,946.5,590.76,curabitur gravida nisi at,7.59,905.92,817.32,801.63,eget,id justo sit,3.64,r,nunc,rutrum neque,donec posuere metus vitae ipsum aliquam non,i,tellus in,%,303.66,614.6,803.62,ir,ii
i,lectus,integer pede justo,ipsum primis in faucibus orci luctus,i,neque aenean,kg,10.53,188.98,730.09,non mi integer,0.88,387.16,449.98,815.21,leo maecenas,tristique est et tempus,3.5,o,bibendum felis,dui vel nisl,mauris viverra diam vitae quam suspendisse potenti,r,mauris morbi non,USD,662.45,12.12,440.64,io,ir
s,vel,lorem quisque,eros elementum pellentesque quisque porta,o,purus aliquet at,kg,470.29,565.28,766.05,ipsum integer a nibh,7.82,593.33,497.92,386.48,lectus,consectetuer adipiscing elit,8.46,p,in,quisque ut,quam pede lobortis ligula sit amet eleifend,r,turpis integer aliquet,kg,908.69,375.35,883.83,sp,or
o,viverra,mi in porttitor,mattis egestas metus aenean fermentum donec,p,quisque porta,m,126.72,646.48,238.39,erat curabitur gravida,3.76,888.16,280.11,868.77,tempor,non interdum in,7.09,i,turpis a,duis at,vulputate vitae nisl aenean lectus pellentesque eget,i,congue diam,m,60.28,274.27,962.45,oi,pi
s,amet nulla,quis odio,fermentum justo nec condimentum neque sapien,o,massa quis augue,%,3.98,289.31,111.02,lobortis est phasellus,2.28,601.02,315.01,456.07,eu,proin leo,2.02,r,vivamus in,cras in,mi nulla ac enim in tempor turpis,s,platea dictumst etiam,USD,506.57,871.02,982.69,sr,os
s,duis,sit amet,est et tempus semper est,p,vel nisl,m,512.54,460.31,136.78,lorem ipsum dolor sit,2.76,461.32,612.82,81.41,proin,nunc donec quis orci,4.03,i,dolor,dui luctus rutrum,rhoncus dui vel sem sed sagittis nam,p,aliquam lacus,%,782.62,544.93,273.34,si,pp
r,amet,nec euismod scelerisque,convallis tortor risus dapibus augue vel,o,ante ipsum,USD,710.16,188.4,833.6,dis parturient montes nascetur,9.74,105.12,65.07,418.76,ac,ut massa volutpat,8.28,o,aliquam erat,volutpat eleifend,augue vestibulum rutrum rutrum neque aenean auctor,p,donec ut mauris,USD,24.69,872.8,641.05,ro,op
i,sed,bibendum felis,vestibulum ante ipsum primis in faucibus,i,lacinia erat,%,493.68,870.38,116.53,nibh fusce lacus,5.06,842.34,639.94,584.29,consectetuer,amet sapien dignissim vestibulum,2.62,s,tincidunt in,id luctus nec,magnis dis parturient montes nascetur ridiculus mus,r,tempus semper,kg,237.45,613.84,706.34,is,ir
s,curae nulla,ante vel ipsum,justo in blandit ultrices enim lorem,p,sapien urna,kg,871.63,332.38,975.03,morbi vestibulum velit id,7.26,455.4,425.88,265.89,penatibus,vitae mattis nibh,0.13,i,justo lacinia,quis orci,pede lobortis ligula sit amet eleifend pede,s,vestibulum sagittis,USD,286.91,999.06,447.77,si,ps
s,sed nisl,at velit,tempus vel pede morbi porttitor lorem id,o,natoque penatibus et,m,653.11,217.88,898.55,mauris eget massa,7.42,420.21,153.91,383.49,ut odio,dapibus nulla,2.54,p,placerat praesent,vel nulla eget,in hac habitasse platea dictumst etiam faucibus,r,vel sem sed,kg,92.42,240.46,799.57,sp,or
p,et magnis,leo maecenas pulvinar,nisi at nibh in hac habitasse platea,r,lectus pellentesque,m,558.18,39.33,983.21,posuere cubilia curae,9.98,390.95,819.95,908.0,amet consectetuer,turpis donec,4.9,r,lacus morbi,maecenas tincidunt,dui vel sem sed sagittis nam congue,o,lobortis ligula,kg,772.42,526.72,723.21,pr,ro
p,sapien dignissim,mattis nibh ligula,turpis adipiscing lorem vitae mattis,r,nec condimentum,USD,36.06,482.58,412.68,ut odio cras mi,4.71,706.82,402.63,983.1,arcu libero,sed augue aliquam,9.0,o,fusce congue,nulla tellus,lobortis vel dapibus at diam nam tristique,p,dui luctus rutrum,m,746.37,868.97,881.37,po,rp
i,ante ipsum,ultrices posuere cubilia,posuere cubilia curae mauris viverra diam,s,arcu adipiscing,kg,328.0,780.66,943.56,aliquet at feugiat non,1.54,226.73,393.66,949.22,parturient montes,amet consectetuer adipiscing,7.83,p,nunc commodo,augue vestibulum,nulla integer pede justo lacinia eget tincidunt,r,rutrum neque,USD,499.77,352.3,747.52,ip,sr
r,aliquam lacus,lacinia eget tincidunt,tempus vivamus in felis eu sapien cursus,p,ultrices libero non,USD,240.32,38.1,150.3,eu sapien cursus vestibulum,0.29,224.64,119.31,137.15,habitasse,eget elit sodales scelerisque,6.41,s,in felis,amet eros suspendisse,ut mauris eget massa tempor convallis nulla,o,mus etiam,%,208.39,9.15,102.56,rs,po
s,amet,mus etiam vel,dictumst morbi vestibulum velit id pretium iaculis,p,est risus auctor,USD,573.41,480.26,267.18,mattis egestas metus,5.05,100.92,700.23,395.22,sed nisl,lobortis vel dapibus,1.0,s,nullam,morbi non quam,ut odio cras mi pede malesuada in,o,penatibus et,USD,570.78,159.48,937.08,ss,po
o,ultrices,ante ipsum primis,velit vivamus vel nulla eget eros,o,nunc rhoncus dui,USD,796.27,978.8,545.47,diam cras pellentesque volutpat,4.78,895.78,834.77,245.55,justo pellentesque,nisl aenean lectus,9.96,o,vivamus vestibulum,orci nullam molestie,justo nec condimentum neque sapien placerat ante,r,ut suscipit,USD,528.52,98.44,540.74,oo,or
p,lorem,mattis nibh ligula,augue quam sollicitudin vitae consectetuer eget rutrum,o,vel accumsan tellus,USD,856.83,874.93,404.04,ultrices vel augue vestibulum,1.96,531.49,864.84,118.57,aliquet,lorem id,2.34,s,consequat,orci pede venenatis,feugiat non pretium quis lectus suspendisse potenti,i,ante ipsum primis,USD,225.39,504.06,136.96,ps,oi
s,fusce,sagittis sapien,luctus et ultrices posuere cubilia curae donec,p,nibh in,USD,879.53,54.85,960.5,nulla justo aliquam quis,0.72,274.77,732.91,787.46,ultrices posuere,nulla nunc purus,4.68,s,diam vitae,faucibus cursus urna,vitae nisl aenean lectus pellentesque eget nunc,i,nulla neque,%,560.17,408.54,971.04,ss,pi
i,in purus,vitae consectetuer eget,ipsum ac tellus semper interdum,s,metus arcu,USD,690.75,52.08,245.15,dolor vel est donec,7.82,316.39,167.99,684.29,duis,leo maecenas,1.51,i,mus vivamus,non mi integer,porttitor id consequat in consequat ut nulla,p,in hac,m,903.57,450.51,480.04,ii,sp
i,venenatis,cursus urna ut,dictumst morbi vestibulum velit id,s,adipiscing molestie,%,103.6,511.57,879.34,tortor sollicitudin mi,8.09,27.38,5.14,419.3,erat,ac nulla,9.82,r,nulla mollis,nulla eget,erat fermentum justo nec condimentum neque sapien,i,dui maecenas,USD,771.14,357.85,330.37,ir,si
o,nisl duis,condimentum id luctus,suspendisse accumsan tortor quis turpis,o,ut massa quis,kg,950.22,264.09,516.96,etiam pretium iaculis,5.09,585.16,256.08,327.59,in quis,quam pharetra,5.15,i,lectus,lectus vestibulum,et magnis dis parturient montes nascetur ridiculus,s,lectus pellentesque,USD,790.85,158.16,795.06,oi,os
i,at,tempus sit,congue vivamus metus arcu adipiscing molestie hendrerit,p,nulla quisque,%,607.62,515.98,263.93,vehicula consequat morbi,4.51,727.25,550.26,926.37,duis consequat,sapien cursus vestibulum proin,1.82,r,orci luctus,justo nec,tincidunt in leo maecenas pulvinar lobortis est,r,auctor sed tristique,m,9.5,656.69,293.15,ir,pr
p,vestibulum,justo lacinia eget,phasellus sit amet erat nulla tempus vivamus,s,integer pede justo,USD,812.88,539.8,648.31,quisque id justo,4.16,571.47,292.87,320.58,faucibus,auctor sed,4.93,p,aliquam,eros suspendisse accumsan,nisi nam ultrices libero non mattis pulvinar,p,est et tempus,kg,221.11,274.83,207.97,pp,sp
o,ut,eros viverra,interdum eu tincidunt in leo maecenas pulvinar,p,orci luctus,m,103.02,446.33,358.78,metus vitae ipsum,9.36,949.88,823.23,514.6,in hac,ante vel,0.39,p,porta volutpat,purus phasellus in,eget eros elementum pellentesque quisque porta volutpat,o,nullam orci pede,kg,379.46,755.51,754.19,op,po
i,lectus,etiam vel,et commodo vulputate justo in blandit,i,cubilia curae,%,243.76,633.25,8.58,cubilia curae donec,2.25,686.39,105.94,775.98,massa id,cum sociis natoque penatibus,7.77,o,eros suspendisse,dictumst maecenas,vulputate luctus cum sociis natoque penatibus et,p,eu tincidunt in,%,452.11,509.33,571.73,io,ip
s,vel lectus,vestibulum ac est,et magnis dis parturient montes nascetur,s,erat volutpat in,m,580.23,375.29,763.39,quisque id justo sit,7.12,112.87,278.71,746.0,sed,aenean fermentum donec ut,8.12,p,eu est,velit eu,adipiscing elit proin interdum mauris non ligula,o,duis aliquam convallis,kg,529.81,825.26,596.7,sp,so
o,molestie,lacus at velit,nibh fusce lacus purus aliquet at,o,sapien varius,USD,404.27,642.15,691.96,suscipit ligula in,7.57,910.5,278.87,342.93,nunc,viverra diam,9.25,p,purus,odio donec vitae,pretium iaculis justo in hac habitasse platea,s,in lacus,USD,425.1,743.24,65.67,op,os
i,congue,sed tincidunt,a libero nam dui proin leo odio,s,ante nulla,USD,801.13,736.22,579.69,donec ut mauris eget,0.67,207.81,943.96,149.36,justo sit,condimentum id,4.49,p,montes nascetur,odio justo sollicitudin,luctus et ultrices posuere cubilia curae duis,s,nibh in lectus,m,487.39,391.49,560.04,ip,ss
i,pede justo,laoreet ut rhoncus,sollicitudin ut suscipit a feugiat et,o,curabitur in,m,610.12,699.82,756.3,eget vulputate ut ultrices,3.1,60.98,425.23,42.76,at lorem,pellentesque quisque porta,5.3,r,interdum,porttitor pede,mattis egestas metus aenean fermentum donec ut,i,pede morbi porttitor,USD,600.14,338.66,190.0,ir,oi
i,donec,ultricies eu,odio donec vitae nisi nam ultrices libero,s,nulla quisque arcu,USD,961.45,877.65,739.55,tempus vivamus in,6.88,321.82,217.49,566.78,porta,morbi vestibulum velit,6.13,i,quisque porta,neque sapien,rhoncus dui vel sem sed sagittis nam,r,ligula suspendisse ornare,%,609.8,426.74,151.67,ii,sr
o,mi nulla,ultrices enim,purus aliquet at feugiat non,r,nisl duis,m,780.05,624.89,855.91,enim blandit mi in,3.6,428.92,11.61,638.01,laoreet ut,eleifend quam a,8.81,p,turpis,accumsan tellus nisi,felis fusce posuere felis sed lacus morbi,i,at dolor,kg,439.78,30.66,405.3,op,ri
i,in,lacus at,aenean fermentum donec ut mauris,o,vel ipsum,USD,105.82,835.74,699.86,in congue etiam justo,2.93,207.23,544.78,316.9,sed tincidunt,magna at nunc commodo,6.22,o,duis ac,pretium nisl,sapien cursus vestibulum proin eu mi nulla,p,ultrices posuere cubilia,%,395.46,159.69,412.71,io,op
r,consequat,consequat varius,sapien ut nunc vestibulum ante,s,commodo vulputate justo,kg,277.6,872.28,357.97,orci luctus et,7.42,19.02,154.09,3.38,eu,donec dapibus duis,5.82,r,eros viverra,sit amet,fermentum donec ut mauris eget massa tempor,i,massa donec dapibus,%,490.67,529.15,5.4,rr,si
o,placerat praesent,dui vel sem,id nulla ultrices aliquet maecenas leo,s,mi pede,%,48.91,711.64,769.98,sapien non mi,6.37,876.0,865.38,745.11,curae,erat volutpat in,2.61,i,sapien quis,ut erat,ligula vehicula consequat morbi a ipsum integer,p,lacus purus,m,740.38,969.69,165.05,oi,sp
p,curabitur gravida,orci mauris,consequat in consequat ut nulla sed accumsan,p,dolor morbi,kg,609.7,278.94,6.7,nulla tempus vivamus,4.86,654.41,100.69,74.39,vitae,lectus pellentesque at,8.17,s,nulla pede,laoreet ut,pede morbi porttitor lorem id ligula suspendisse,r,eros vestibulum,%,148.88,352.05,739.22,ps,pr
i,ac neque,nam nulla integer,velit eu est congue elementum in,o,eu pede,kg,191.65,850.2,713.61,nulla mollis molestie lorem,3.38,795.64,477.64,962.46,turpis,est congue elementum,0.05,o,nunc,dui luctus rutrum,est lacinia nisi venenatis tristique fusce congue,p,felis sed interdum,USD,570.84,248.68,878.39,io,op
s,in,eu felis,etiam pretium iaculis justo in,o,consequat ut,kg,197.11,244.31,697.7,at nibh in,8.86,453.35,892.06,231.37,est,accumsan felis ut at,3.78,p,amet,enim sit,ultrices erat tortor sollicitudin mi sit amet,o,eros elementum pellentesque,m,953.78,640.57,291.94,sp,oo
s,nec nisi,at dolor quis,at feugiat non pretium quis lectus,o,ipsum dolor,%,460.52,331.17,433.47,luctus et ultrices,2.79,608.44,5.79,282.35,ut volutpat,ipsum dolor,9.48,r,massa,a feugiat et,sollicitudin ut suscipit a feugiat et eros,s,nulla eget eros,m,290.95,754.56,133.21,sr,os
r,posuere cubilia,nec nisi,felis sed interdum venenatis turpis enim blandit,s,etiam pretium iaculis,kg,587.1,906.52,110.93,aliquam erat volutpat,1.35,704.49,357.18,107.56,justo,tortor eu pede,5.75,s,nisi vulputate,orci luctus et,tempor convallis nulla neque libero convallis eget,p,mi integer,m,837.45,812.97,640.77,rs,sp
o,ante ipsum,neque vestibulum eget,vestibulum ante ipsum primis in,i,id ornare,USD,684.25,944.75,140.72,nisl duis bibendum felis,6.58,368.06,671.92,350.18,ante ipsum,dictumst morbi vestibulum velit,3.35,o,vivamus metus,sociis natoque penatibus,curabitur in libero ut massa volutpat convallis,r,id nisl venenatis,kg,211.98,433.14,440.26,oo,ir
r,velit,egestas metus aenean,odio odio elementum eu interdum eu,r,maecenas tincidunt,%,565.77,580.23,711.07,sed accumsan felis ut,3.44,989.77,99.08,209.91,maecenas,lectus pellentesque,1.08,s,mattis egestas,ipsum primis,nonummy maecenas tincidunt lacus at velit vivamus,o,ante vel,%,390.25,616.6,219.78,rs,ro
p,ornare consequat,convallis nunc proin,consequat ut nulla sed accumsan felis ut,o,molestie hendrerit,%,88.11,306.37,633.75,massa tempor convallis nulla,8.44,515.26,105.69,463.55,nulla ultrices,interdum venenatis turpis enim,6.06,p,est,ornare consequat lectus,cras non velit nec nisi vulputate nonummy,o,rutrum nulla,m,247.34,983.77,92.55,pp,oo
o,tortor,ac enim in,molestie sed justo pellentesque viverra,p,interdum eu,m,148.93,62.28,711.32,velit eu est,5.43,359.26,374.56,888.81,curae duis,sit amet nulla quisque,2.49,p,at,nullam porttitor,nunc purus phasellus in felis donec semper,i,euismod scelerisque,USD,233.04,297.21,89.61,op,pi
s,dapibus,sit amet,est risus auctor sed tristique,r,sapien quis libero,kg,137.54,484.12,714.15,odio cras mi pede,6.91,681.38,462.75,742.12,faucibus,turpis integer aliquet massa,7.08,r,felis eu,at vulputate,imperdiet nullam orci pede venenatis non sodales,r,nam dui proin,%,944.52,586.24,907.84,sr,rr
p,in,blandit mi,tortor risus dapibus augue vel accumsan tellus,i,pellentesque ultrices,%,736.66,240.27,266.95,tellus nisi eu orci,2.12,48.56,6.79,980.4,nulla,hac habitasse platea,8.67,p,dui,ultrices vel augue,condimentum neque sapien placerat ante nulla justo,i,cursus id,USD,810.11,156.82,934.79,pp,ii
p,nulla,dui luctus rutrum,rhoncus aliquet pulvinar sed nisl,p,neque libero convallis,%,387.3,713.89,95.0,primis in faucibus,7.08,334.13,344.07,605.67,ipsum aliquam,in ante,3.62,p,imperdiet,nec condimentum neque,etiam justo etiam pretium iaculis justo in,p,at turpis,kg,215.28,498.1,312.67,pp,pp
i,lacinia erat,elit ac,placerat ante nulla justo aliquam quis,s,nulla integer pede,m,836.72,439.79,49.17,mollis molestie lorem,5.41,781.8,245.47,755.99,at vulputate,justo lacinia eget,5.1,r,volutpat,diam in magna,adipiscing elit proin risus praesent lectus vestibulum,s,at feugiat,%,192.6,506.05,380.19,ir,ss
s,nisi eu,nisi venenatis,purus phasellus in felis donec,o,non sodales sed,kg,10.03,79.9,105.96,tincidunt eu felis,0.28,469.92,379.41,295.56,quisque,mauris vulputate,8.39,o,eleifend luctus,venenatis tristique fusce,eleifend luctus ultricies eu nibh quisque id,o,sapien non,%,275.78,52.53,377.03,so,oo
i,mauris eget,erat fermentum justo,rhoncus aliquam lacus morbi quis tortor,s,id pretium iaculis,USD,865.5,537.91,704.85,lobortis ligula sit,8.02,684.72,134.5,793.74,dapibus dolor,donec ut dolor,0.96,i,fusce,sed tincidunt eu,viverra eget congue eget semper rutrum nulla,r,luctus cum,%,731.43,540.64,148.92,ii,sr
i,nullam,aliquet at feugiat,neque aenean auctor gravida sem praesent id,i,nulla integer pede,m,693.66,633.33,791.57,eu magna vulputate luctus,9.59,701.62,850.35,628.92,elementum,luctus et,1.79,s,lorem quisque,justo lacinia eget,id nisl venenatis lacinia aenean sit amet,i,volutpat quam pede,USD,744.09,410.09,698.06,is,ii
r,curabitur in,cras mi pede,neque vestibulum eget vulputate ut ultrices vel,r,pulvinar sed,USD,4.46,688.02,411.34,sapien sapien non mi,2.64,291.93,965.41,396.5,at velit,accumsan odio curabitur convallis,0.48,o,luctus,nulla ultrices aliquet,vehicula condimentum curabitur in libero ut massa,s,ornare imperdiet sapien,USD,36.34,348.06,793.51,ro,rs
i,tincidunt lacus,dis parturient montes,a feugiat et eros vestibulum,i,integer tincidunt,kg,82.91,210.24,941.48,venenatis non sodales sed,1.54,42.24,191.79,424.09,luctus,faucibus orci luctus et,4.47,s,cras mi,nam ultrices,cum sociis natoque penatibus et magnis dis,o,et tempus semper,m,886.55,918.58,439.04,is,io
i,dapibus dolor,sed ante vivamus,a nibh in quis justo maecenas,p,dictumst etiam faucibus,m,318.9,914.9,330.74,pulvinar nulla pede ullamcorper,9.1,98.52,90.79,881.3,orci vehicula,sociis natoque penatibus et,6.97,s,eget rutrum,suspendisse potenti in,nibh fusce lacus purus aliquet at feugiat,r,ut massa,%,8.05,940.43,804.35,is,pr
p,metus vitae,rutrum nulla nunc,ultrices libero non mattis pulvinar nulla,p,et ultrices,m,723.89,855.31,121.87,non lectus aliquam,1.62,757.62,932.61,540.59,ac consequat,massa id,7.56,i,mi,sem duis,est quam pharetra magna ac consequat metus,i,nulla neque libero,kg,367.4,601.5,428.8,pi,pi
p,non mattis,pellentesque quisque porta,justo sit amet sapien dignissim vestibulum vestibulum,i,amet consectetuer,m,939.48,411.31,745.48,viverra diam vitae quam,8.97,669.04,916.34,898.38,tristique,quam suspendisse,1.3,s,ut,platea dictumst aliquam,donec semper sapien a libero nam dui,r,donec posuere metus,m,783.23,338.78,263.14,ps,ir
s,magna vulputate,massa id,velit donec diam neque vestibulum,r,est quam,%,505.14,812.23,240.82,bibendum imperdiet nullam orci,3.76,369.64,79.21,834.1,felis,amet justo,7.84,o,id luctus,sapien iaculis congue,diam neque vestibulum eget vulputate ut ultrices,p,vel nulla eget,m,468.35,860.27,236.07,so,rp
p,aliquam erat,vitae consectetuer eget,etiam justo etiam pretium iaculis justo,s,euismod scelerisque quam,USD,818.96,659.03,642.48,erat nulla tempus vivamus,0.93,668.23,390.81,375.09,ipsum,justo aliquam quis,1.04,p,mi sit,nisl aenean,nonummy maecenas tincidunt lacus at velit vivamus,i,dapibus augue,kg,298.5,935.56,509.5,pp,si
i,blandit lacinia,quis augue luctus,convallis nunc proin at turpis,i,ut nulla,m,171.4,654.11,357.43,interdum mauris ullamcorper purus,1.45,14.18,746.49,102.96,est,tortor id nulla ultrices,9.82,p,aliquet ultrices,amet turpis elementum,ut at dolor quis odio consequat varius,o,pede lobortis ligula,m,807.42,914.6,331.84,ip,io
r,eu est,libero nam dui,porta volutpat erat quisque erat,s,vel nulla eget,m,648.45,399.03,109.42,felis sed interdum venenatis,7.36,53.68,111.47,103.76,iaculis diam,ultrices posuere cubilia,5.59,s,congue,in hac,tellus nulla ut erat id mauris vulputate,s,dapibus dolor vel,m,970.61,849.7,635.6,rs,ss
o,nec,eget semper,duis at velit eu est,o,turpis eget elit,m,132.6,158.38,576.82,convallis duis consequat,3.69,387.6,402.68,889.07,erat,nunc nisl duis bibendum,0.26,s,vestibulum,amet lobortis,vestibulum quam sapien varius ut blandit non,i,vestibulum aliquet,kg,598.86,440.52,892.72,os,oi
p,nulla,sapien quis libero,odio porttitor id consequat in consequat ut,o,et ultrices posuere,kg,638.2,459.79,596.88,turpis nec euismod scelerisque,5.09,378.65,743.39,650.88,bibendum felis,nisi eu orci,5.75,p,euismod,ut massa,ultrices aliquet maecenas leo odio condimentum id,s,id ligula,%,415.76,744.03,977.24,pp,os
o,augue luctus,aliquam non mauris,in faucibus orci luctus et ultrices posuere,o,adipiscing elit,kg,695.57,420.0,943.2,massa id nisl,0.04,885.26,82.9,882.75,nulla sed,arcu sed augue,0.47,s,platea,cursus id turpis,dolor morbi vel lectus in quam fringilla,r,leo maecenas,%,915.16,751.43,495.91,os,or
i,nisi at,nec dui,pede morbi porttitor lorem id ligula suspendisse,o,aenean auctor gravida,%,283.98,270.53,735.07,condimentum id luctus nec,8.72,302.19,206.51,605.89,nulla sed,condimentum neque sapien placerat,2.42,p,mi nulla,eu orci,in congue etiam justo etiam pretium iaculis,r,sit amet justo,%,460.95,502.11,805.92,ip,or
s,id luctus,nam ultrices,nec molestie sed justo pellentesque viverra,s,nulla facilisi,kg,953.16,556.52,12.59,libero nam dui proin,3.35,819.66,746.52,218.16,pede malesuada,consequat nulla nisl nunc,0.24,r,nunc vestibulum,malesuada in,erat nulla tempus vivamus in felis eu,i,parturient montes nascetur,m,259.79,314.26,818.32,sr,si
s,sed,ipsum ac,in leo maecenas pulvinar lobortis est,p,id luctus nec,kg,162.28,999.31,14.49,dolor quis odio,8.17,121.28,248.93,73.08,nisi nam,imperdiet nullam orci pede,1.01,r,hac,tristique tortor eu,pede justo lacinia eget tincidunt eget tempus,o,bibendum felis sed,m,335.71,570.58,123.22,sr,po
o,risus praesent,sit amet,leo pellentesque ultrices mattis odio donec vitae,i,dis parturient,kg,263.46,542.88,630.77,massa donec dapibus duis,0.91,579.43,859.06,745.35,in,primis in faucibus orci,7.55,o,nascetur,vestibulum ante ipsum,montes nascetur ridiculus mus etiam vel augue,s,ut suscipit,%,9.74,970.02,449.36,oo,is
p,enim,eget vulputate,sit amet eros suspendisse accumsan tortor quis,i,blandit ultrices enim,m,383.78,299.07,163.74,et ultrices posuere cubilia,0.25,516.0,333.03,173.72,quis,porttitor id,8.47,i,enim,sit amet,neque duis bibendum morbi non quam nec,o,penatibus et,kg,977.55,253.88,92.89,pi,io
r,in,ullamcorper augue a,eu orci mauris lacinia sapien quis libero,r,consequat dui,m,355.15,406.36,189.57,pede malesuada in,0.51,403.32,152.23,160.17,vestibulum,ipsum dolor,4.25,i,arcu,et tempus,sapien arcu sed augue aliquam erat volutpat,i,montes nascetur,%,508.91,457.78,5.76,ri,ri
i,ante ipsum,massa id,potenti in eleifend quam a odio,r,quam pede,USD,841.87,566.58,561.29,eu sapien cursus vestibulum,4.48,196.73,815.77,516.4,nulla,accumsan odio,7.49,o,nunc rhoncus,ante vestibulum ante,nulla integer pede justo lacinia eget tincidunt,p,ultrices posuere cubilia,kg,204.35,716.27,787.38,io,rp
o,orci nullam,in porttitor,velit vivamus vel nulla eget eros,s,massa donec dapibus,kg,994.6,19.98,130.84,ac nibh fusce,2.99,624.47,568.53,339.72,vestibulum,tincidunt eu felis,6.68,o,quam fringilla,ligula nec sem,eget tincidunt eget tempus vel pede morbi,s,congue diam id,kg,135.29,681.82,305.72,oo,ss
p,justo maecenas,congue eget semper,justo nec condimentum neque sapien placerat ante,r,quam pede,%,505.07,420.02,802.88,ullamcorper purus sit,8.69,128.84,133.14,535.31,arcu,habitasse platea dictumst,3.2,i,nulla suscipit,id nulla ultrices,rutrum neque aenean auctor gravida sem praesent,i,curae nulla,USD,638.51,803.13,584.8,pi,ri
r,ut massa,varius nulla,consectetuer eget rutrum at lorem,o,augue luctus,m,458.82,303.81,878.66,commodo placerat praesent,5.54,875.23,825.35,614.7,tellus nisi,vulputate vitae nisl,3.26,r,in,nunc commodo placerat,fusce lacus purus aliquet at feugiat non,r,faucibus accumsan,m,52.81,560.04,804.36,rr,or
r,dictumst aliquam,cubilia curae nulla,sit amet nunc viverra dapibus nulla suscipit,r,in est,kg,515.39,990.86,40.65,integer ac neque duis,2.03,560.31,974.98,86.65,id,interdum venenatis,0.79,s,fusce congue,turpis integer,faucibus accumsan odio curabitur convallis duis consequat,o,mauris laoreet,kg,526.09,162.17,467.65,rs,ro
s,pellentesque,condimentum neque,nulla quisque arcu libero rutrum,r,ultrices mattis,%,810.92,277.56,28.39,praesent id massa id,5.41,682.21,218.62,47.12,rhoncus,libero rutrum,9.24,r,semper,in tempus sit,ipsum primis in faucibus orci luctus et,s,id justo,m,652.73,52.65,248.77,sr,rs
i,quisque,sociis natoque,velit nec nisi vulputate nonummy maecenas tincidunt,s,orci luctus et,USD,152.71,135.62,624.85,quam pede lobortis,5.65,233.33,563.61,818.96,nisi,leo odio condimentum id,0.17,p,nulla,ullamcorper augue,nulla justo aliquam quis turpis eget elit,s,tincidunt lacus,USD,996.21,463.22,159.81,ip,ss
r,sem praesent,eu tincidunt,luctus et ultrices posuere cubilia curae nulla,o,mattis nibh,USD,693.4,822.49,623.96,lobortis convallis tortor,7.02,665.93,716.85,646.42,suscipit,scelerisque mauris,2.87,p,eu,orci mauris,lobortis ligula sit amet eleifend pede libero,o,auctor gravida,USD,803.98,74.72,371.46,rp,oo
p,montes nascetur,proin at,at dolor quis odio consequat varius,s,aliquet massa,m,501.06,83.15,598.34,suspendisse accumsan tortor,1.95,10.42,256.23,806.82,consequat,at turpis a,3.09,r,sollicitudin,id mauris vulputate,varius ut blandit non interdum in ante,r,cras mi,USD,586.71,72.73,265.21,pr,sr
o,sagittis,magna vestibulum,ligula vehicula consequat morbi a ipsum integer,p,a nibh in,kg,472.57,671.23,656.76,id ligula suspendisse ornare,1.36,728.05,635.42,392.13,eget semper,duis consequat,7.81,s,vitae ipsum,molestie lorem,iaculis congue vivamus metus arcu adipiscing molestie,r,id nulla,%,433.1,731.4,972.73,os,pr
r,non mauris,dapibus nulla,posuere cubilia curae donec pharetra magna vestibulum,i,rutrum nulla,USD,391.16,959.31,562.27,dignissim vestibulum vestibulum,1.51,817.87,626.98,956.6,felis,integer ac neque duis,6.74,i,mauris,proin eu mi,semper sapien a libero nam dui proin,i,aliquam sit,%,812.02,869.68,975.09,ri,ii
