eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
i,sed vestibulum,vivamus metus,cubilia curae nulla dapibus dolor,r,mauris laoreet,%,579.48,706.52,789.67,nec dui luctus rutrum,6.25,806.67,590.16,286.56,sapien in,metus vitae ipsum aliquam,8.08,i,suspendisse,vestibulum sit,blandit mi in porttitor pede justo eu,s,enim sit amet,%,717.88,747.31,981.64,ii,rs
p,elementum eu,tempor convallis nulla,tortor sollicitudin mi sit amet,p,justo maecenas rhoncus,m,738.51,88.82,546.15,id nulla ultrices,4.15,138.06,497.0,319.26,sit,eu tincidunt in,5.54,o,id luctus,nisl nunc,sed tristique in tempus sit amet sem,o,est phasellus,%,969.12,49.45,82.27,po,po
i,bibendum,pretium quis,id luctus nec molestie sed justo,p,curae nulla,m,64.62,247.25,811.07,eleifend quam a odio,2.1,119.36,902.31,40.74,elit,aliquam non mauris morbi,9.66,p,varius integer,in blandit,platea dictumst maecenas ut massa quis augue,i,pede justo lacinia,m,589.85,436.26,777.26,ip,pi
i,posuere felis,a suscipit nulla,etiam pretium iaculis justo in hac,i,tellus nulla ut,%,517.74,381.41,424.58,nunc nisl duis,6.6,641.83,400.65,253.58,et,fusce consequat nulla,4.39,s,luctus,nibh ligula nec,duis aliquam convallis nunc proin at turpis,o,id massa,USD,686.66,763.49,824.76,is,io
r,et ultrices,volutpat convallis morbi,in quis justo maecenas rhoncus,p,porta volutpat erat,%,822.06,659.81,691.57,neque vestibulum eget,2.41,357.63,526.04,286.73,duis consequat,consectetuer adipiscing elit proin,1.24,p,urna pretium,donec pharetra magna,nam congue risus semper porta volutpat quam,r,leo maecenas pulvinar,m,911.24,353.94,11.6,rp,pr
r,neque,turpis enim blandit,maecenas tincidunt lacus at velit vivamus vel,i,nulla dapibus dolor,%,427.58,471.55,796.01,sed ante vivamus,4.76,313.67,373.44,383.15,ridiculus mus,ut suscipit a feugiat,3.61,r,nulla pede,at nibh in,rhoncus mauris enim leo rhoncus sed vestibulum,o,odio donec vitae,USD,779.28,324.13,485.3,rr,io
o,ante,libero ut,nulla ut erat id mauris,o,at nunc,USD,512.47,196.44,369.15,morbi non quam nec,3.46,226.12,596.03,795.14,orci luctus,massa donec dapibus duis,1.61,s,aliquam,elementum eu,dapibus augue vel accumsan tellus nisi eu,i,pellentesque volutpat dui,kg,190.95,51.9,585.46,os,oi
s,vitae,erat volutpat in,luctus ultricies eu nibh quisque,r,lacinia aenean,m,54.91,868.23,984.82,dapibus nulla suscipit,8.51,867.11,704.18,206.62,maecenas tristique,ligula pellentesque ultrices phasellus,3.89,i,in,mi in,sollicitudin ut suscipit a feugiat et eros,p,pede ullamcorper augue,m,569.37,118.57,97.28,si,rp
i,pellentesque viverra,ac leo,porta volutpat erat quisque erat eros,p,dapibus at,m,830.51,925.07,131.36,maecenas leo odio,7.35,482.31,140.59,968.25,est,ornare imperdiet,7.83,o,iaculis,dictumst aliquam,non mattis pulvinar nulla pede ullamcorper augue,r,felis sed interdum,m,899.75,399.01,338.37,io,pr
r,augue,pede morbi porttitor,turpis a pede posuere nonummy,s,eleifend quam,kg,554.04,716.54,828.4,tincidunt eget tempus,3.26,455.86,559.93,119.66,at,posuere cubilia,5.14,p,sollicitudin,viverra eget,tincidunt eu felis fusce posuere felis sed,r,in eleifend,kg,356.57,404.78,951.17,rp,sr
s,ultricies,imperdiet nullam orci,cras non velit nec nisi vulputate,i,ipsum primis,USD,612.56,655.85,262.64,quis tortor id nulla,9.59,954.4,676.24,33.97,tellus nisi,ipsum dolor,2.77,i,erat tortor,nulla ut,lacinia sapien quis libero nullam sit amet,s,platea dictumst aliquam,%,890.76,262.81,443.57,si,is
o,libero rutrum,eleifend donec ut,ipsum primis in faucibus orci luctus et,s,sed interdum venenatis,m,220.81,436.17,681.52,ultrices posuere cubilia curae,3.09,908.44,77.48,50.86,in,vestibulum aliquet ultrices,7.86,s,maecenas tristique,congue etiam justo,sit amet justo morbi ut odio cras,o,tincidunt eu,%,431.18,151.47,571.26,os,so
p,id,sapien arcu,quam fringilla rhoncus mauris enim,r,faucibus orci,%,372.63,906.75,635.29,quis justo maecenas rhoncus,9.7,803.78,719.66,260.88,curabitur in,et ultrices posuere,2.51,p,magna ac,at nulla suspendisse,dis parturient montes nascetur ridiculus mus vivamus,o,fusce consequat,USD,920.2,649.29,705.85,pp,ro
o,amet,in quam fringilla,sem fusce consequat nulla nisl nunc nisl,i,quisque arcu libero,m,810.51,121.88,54.28,justo morbi ut odio,4.88,970.11,214.17,149.2,est phasellus,in felis eu sapien,3.06,i,tellus semper,consequat ut nulla,bibendum morbi non quam nec dui luctus,o,scelerisque mauris sit,kg,364.29,212.21,744.94,oi,io
s,sapien iaculis,lacus curabitur at,convallis tortor risus dapibus augue vel,o,lobortis sapien,%,524.02,890.46,108.57,donec quis orci,7.2,493.0,342.07,85.11,faucibus,duis at velit eu,8.17,p,duis,vivamus vestibulum,luctus et ultrices posuere cubilia curae nulla,i,cursus urna,kg,308.71,60.48,155.28,sp,oi
s,primis in,pretium quis lectus,nullam molestie nibh in lectus,r,nibh in,USD,998.86,473.24,220.64,in quam fringilla rhoncus,3.89,38.22,900.29,878.63,dui vel,aenean fermentum donec ut,0.45,s,hendrerit,habitasse platea dictumst,sem duis aliquam convallis nunc proin at,r,nulla tempus vivamus,%,234.28,450.61,418.67,ss,rr
i,non,sapien placerat,vestibulum aliquet ultrices erat tortor sollicitudin mi,r,mauris vulputate,m,461.75,12.64,572.75,cubilia curae nulla dapibus,5.69,551.06,498.24,989.76,curae,dapibus augue,0.07,r,orci luctus,vel lectus,luctus ultricies eu nibh quisque id justo,i,nunc donec quis,m,605.17,987.77,768.18,ir,ri
p,est congue,vivamus in,bibendum felis sed interdum venenatis turpis enim,i,convallis morbi odio,m,968.64,25.09,702.03,nonummy maecenas tincidunt,8.94,906.45,274.96,267.69,aliquet massa,vel sem,3.44,i,nulla,nibh in,magna at nunc commodo placerat praesent blandit,o,laoreet ut rhoncus,%,259.73,554.75,276.7,pi,io
r,turpis eget,dui maecenas tristique,erat eros viverra eget congue,r,dui vel,kg,54.76,71.03,328.83,nam ultrices libero non,3.3,67.52,480.49,648.93,quisque,pharetra magna,9.21,s,sem,consequat nulla nisl,a libero nam dui proin leo odio,i,turpis sed ante,m,255.88,579.03,380.61,rs,ri
i,maecenas ut,elit proin,mauris viverra diam vitae quam,p,pellentesque ultrices,USD,521.76,85.8,644.54,viverra eget congue eget,7.33,533.85,606.95,713.03,ut,eleifend pede,0.81,p,ipsum,imperdiet et commodo,sed justo pellentesque viverra pede ac diam,s,condimentum curabitur in,%,50.98,428.9,265.82,ip,ps
p,sapien ut,condimentum id luctus,neque aenean auctor gravida sem,o,platea dictumst,USD,896.87,695.44,340.95,nulla sed vel,6.71,778.14,404.83,509.12,dui,tortor eu,5.05,r,volutpat eleifend,ornare consequat lectus,proin interdum mauris non ligula pellentesque ultrices,s,diam cras,%,172.96,928.26,516.41,pr,os
s,integer,eget vulputate ut,amet nunc viverra dapibus nulla suscipit ligula,r,morbi quis,kg,68.66,646.83,65.9,leo odio porttitor,6.08,248.77,399.25,806.32,luctus,duis consequat dui,0.08,s,et,felis donec,sapien sapien non mi integer ac neque,o,cubilia curae,USD,256.86,676.88,796.98,ss,ro
r,dui,purus sit amet,luctus et ultrices posuere cubilia,o,augue vestibulum ante,%,651.07,825.43,215.51,congue elementum in hac,1.83,738.7,244.31,718.08,volutpat,posuere cubilia curae,2.54,p,ac,diam neque,pretium iaculis justo in hac habitasse platea,i,ut dolor morbi,kg,602.43,666.66,829.15,rp,oi
s,turpis sed,porttitor id consequat,eget rutrum at lorem integer tincidunt,o,donec posuere,kg,229.18,61.54,907.51,sit amet justo morbi,6.79,697.12,228.34,395.58,vel,nec condimentum neque sapien,9.15,o,lectus pellentesque,sociis natoque,et magnis dis parturient montes nascetur ridiculus,o,amet eleifend pede,m,585.86,672.04,539.73,so,oo
o,morbi sem,justo morbi,ultrices posuere cubilia curae mauris viverra,s,tempus vivamus in,%,6.55,197.56,891.09,nunc commodo placerat praesent,4.44,37.76,860.51,563.09,pede,ac consequat metus,0.0,i,ac neque,ipsum primis in,tristique est et tempus semper est quam,s,turpis adipiscing lorem,kg,251.2,282.2,453.52,oi,ss
i,mattis odio,nulla sed,volutpat quam pede lobortis ligula sit amet,o,dui nec nisi,kg,140.41,904.25,29.74,vitae quam suspendisse,2.76,752.56,83.38,274.16,dictumst morbi,lectus pellentesque eget nunc,0.37,p,nisi,est lacinia,ac neque duis bibendum morbi non quam,o,eget elit sodales,%,320.07,729.35,912.13,ip,oo
i,ut at,ante ipsum,dictumst maecenas ut massa quis augue luctus,r,nulla tellus in,kg,392.92,985.15,509.77,enim lorem ipsum dolor,4.31,369.23,714.08,595.0,luctus,rutrum nulla,3.65,s,pede,elit ac,eros vestibulum ac est lacinia nisi venenatis,r,in ante,%,911.86,323.39,976.15,is,rr
r,volutpat sapien,luctus et ultrices,aliquet at feugiat non pretium,r,ullamcorper purus,%,113.87,692.74,835.19,parturient montes nascetur ridiculus,5.24,251.05,591.5,542.52,dictumst,ante vivamus,8.53,i,cras in,donec semper sapien,congue risus semper porta volutpat quam pede,i,aliquet ultrices,kg,165.55,746.33,145.85,ri,ri
r,ultrices aliquet,donec ut mauris,primis in faucibus orci luctus,i,mi sit amet,USD,957.23,956.89,212.63,quam suspendisse potenti,3.45,884.11,212.75,905.76,adipiscing lorem,duis mattis,6.55,s,tristique in,lobortis vel dapibus,tincidunt ante vel ipsum praesent blandit lacinia,s,primis in faucibus,kg,560.72,798.37,32.13,rs,is
o,risus,enim lorem ipsum,libero non mattis pulvinar nulla pede ullamcorper,p,vel sem,USD,639.5,761.33,538.38,sit amet eleifend pede,0.55,61.59,510.84,297.49,in,varius integer,4.14,p,maecenas tincidunt,hac habitasse,sit amet lobortis sapien sapien non mi,p,malesuada in,kg,984.62,368.64,583.58,op,pp
s,nisl aenean,consequat morbi a,primis in faucibus orci luctus et ultrices,o,lectus suspendisse potenti,%,977.59,591.3,585.09,convallis nunc proin at,9.8,738.12,192.9,42.08,eros suspendisse,interdum venenatis turpis,2.39,r,accumsan odio,molestie hendrerit at,quam nec dui luctus rutrum nulla tellus,o,pulvinar lobortis,USD,808.98,246.06,831.91,sr,oo
i,mus,cubilia curae,scelerisque quam turpis adipiscing lorem vitae mattis,i,sit amet,m,242.14,572.79,537.35,quam suspendisse potenti nullam,9.72,657.73,740.41,735.28,viverra diam,donec posuere,9.1,o,faucibus,ipsum integer,amet eleifend pede libero quis orci nullam,s,ut volutpat sapien,USD,694.59,161.86,579.85,io,is
s,libero,placerat praesent,ipsum primis in faucibus orci luctus,r,nullam molestie,m,595.34,790.98,558.28,in tempus sit,0.85,145.59,37.91,381.46,metus,porta volutpat quam,6.65,p,lorem,pede ullamcorper augue,risus dapibus augue vel accumsan tellus nisi,r,ipsum dolor,m,497.45,321.53,942.53,sp,rr
p,rhoncus mauris,nibh fusce,dignissim vestibulum vestibulum ante ipsum primis in,r,eros elementum pellentesque,kg,443.94,470.63,606.76,dis parturient montes,5.48,528.61,987.6,372.99,ultrices erat,lectus pellentesque eget,5.16,r,primis,mus vivamus vestibulum,tortor risus dapibus augue vel accumsan tellus,r,nascetur ridiculus mus,USD,698.31,436.58,301.71,pr,rr
o,felis sed,a feugiat,duis ac nibh fusce lacus purus,o,nec sem duis,kg,827.88,826.84,870.13,mus vivamus vestibulum sagittis,7.06,314.34,702.76,485.9,nulla ac,sodales sed,6.89,s,primis in,vulputate elementum,tincidunt lacus at velit vivamus vel nulla,r,blandit non,%,23.95,55.97,568.37,os,or
r,duis bibendum,vestibulum vestibulum ante,diam neque vestibulum eget vulputate ut,i,cubilia curae mauris,kg,157.28,839.65,994.08,tempus semper est quam,6.66,894.22,559.16,815.45,eu sapien,eget tempus vel pede,1.19,s,primis,sapien non mi,vehicula condimentum curabitur in libero ut massa,p,etiam faucibus cursus,m,588.05,155.43,605.05,rs,ip
s,lectus pellentesque,vulputate justo in,dolor morbi vel lectus in quam,r,at vulputate vitae,USD,546.86,488.75,197.17,convallis tortor risus,5.84,191.49,502.43,169.01,ultrices,id pretium iaculis diam,4.97,r,diam erat,vel dapibus,libero quis orci nullam molestie nibh in,s,quis lectus,m,873.35,332.27,141.97,sr,rs
s,id,ut blandit non,elit ac nulla sed vel enim sit,o,augue quam sollicitudin,%,910.79,839.33,887.1,dolor sit amet,7.72,982.55,50.35,562.63,eget,fusce consequat nulla nisl,4.53,s,nunc,in ante vestibulum,phasellus id sapien in sapien iaculis congue,p,diam erat,m,597.96,449.23,41.7,ss,op
i,ultrices posuere,lacinia sapien quis,vel sem sed sagittis nam,i,porttitor lacus,m,860.37,685.52,79.96,ut blandit non,3.84,92.15,881.21,915.52,fusce,habitasse platea dictumst morbi,3.97,r,ut nunc,ac est,eu mi nulla ac enim in tempor,o,justo in,USD,362.92,823.04,601.25,ir,io
i,habitasse,massa quis,ligula pellentesque ultrices phasellus id,s,dolor sit,m,110.32,74.69,143.38,quis augue luctus,4.51,250.09,398.61,168.68,morbi vel,cubilia curae,0.25,o,sapien dignissim,justo aliquam quis,felis sed interdum venenatis turpis enim blandit,i,mauris enim,kg,87.9,45.38,871.63,io,si
p,integer non,amet consectetuer,condimentum curabitur in libero ut,p,sapien non mi,USD,567.46,663.62,795.87,quis orci eget orci,2.45,701.84,207.87,62.62,donec,tristique fusce congue diam,7.93,s,nisl aenean,amet eros,mi sit amet lobortis sapien sapien non,i,diam nam tristique,USD,450.66,736.06,532.29,ps,pi
r,maecenas,non pretium,duis consequat dui nec nisi volutpat eleifend,o,vel dapibus,USD,779.41,683.38,239.42,augue vestibulum rutrum rutrum,4.25,645.22,349.26,765.77,ipsum dolor,quis turpis sed ante,4.88,p,in faucibus,suspendisse potenti cras,ac nibh fusce lacus purus aliquet at,o,vestibulum sit,USD,796.95,452.87,592.5,rp,oo
o,vehicula,pulvinar sed,id justo sit amet sapien dignissim,s,mi pede,USD,849.62,607.25,868.12,in faucibus orci luctus,7.61,622.29,820.22,17.28,morbi,amet nunc viverra dapibus,5.32,r,montes,eget orci vehicula,luctus et ultrices posuere cubilia curae duis,i,libero nam,%,751.85,642.33,955.67,or,si
r,enim,ac nibh,scelerisque quam turpis adipiscing lorem vitae,s,integer ac,kg,894.12,847.66,920.46,ut erat curabitur,8.87,655.08,61.83,875.52,aliquam erat,quam turpis,9.64,i,tempor turpis,maecenas rhoncus aliquam,mus vivamus vestibulum sagittis sapien cum sociis,r,maecenas leo odio,m,656.48,597.0,891.0,ri,sr
i,pretium iaculis,at vulputate vitae,lorem vitae mattis nibh ligula nec,p,diam nam,m,747.98,399.85,19.51,blandit nam nulla integer,2.95,489.2,992.51,298.95,eget,in lacus curabitur at,3.5,r,maecenas,id lobortis,molestie hendrerit at vulputate vitae nisl aenean,r,lacus at,%,648.84,434.62,440.51,ir,pr
i,nulla suscipit,at diam nam,non mi integer ac neque,s,luctus ultricies,%,429.75,138.69,579.85,platea dictumst morbi,6.76,728.14,60.42,42.32,ut,euismod scelerisque quam turpis,0.87,i,lobortis sapien,duis bibendum morbi,semper interdum mauris ullamcorper purus sit amet,i,eget eleifend luctus,USD,517.98,665.25,345.1,ii,si
r,ac diam,tincidunt lacus,eget nunc donec quis orci eget,p,molestie nibh,USD,807.82,537.44,345.2,justo eu massa,3.89,598.44,999.16,634.01,odio condimentum,ut dolor,7.85,o,dui vel,odio justo sollicitudin,consequat varius integer ac leo pellentesque ultrices,i,at vulputate vitae,%,337.2,787.94,156.67,ro,pi
p,erat id,magnis dis,tincidunt nulla mollis molestie lorem quisque,s,dapibus nulla,USD,4.11,361.78,938.3,maecenas rhoncus aliquam lacus,9.45,72.62,49.65,64.75,augue,ultricies eu,7.21,i,non,ut ultrices,nunc viverra dapibus nulla suscipit ligula in,p,porta volutpat erat,%,476.3,220.84,883.74,pi,sp
i,pretium nisl,sit amet,ante nulla justo aliquam quis,p,quis augue luctus,m,942.38,443.22,349.62,suscipit nulla elit,8.83,518.87,81.28,515.9,scelerisque,augue aliquam erat,2.79,o,nibh in,cubilia curae,mauris laoreet ut rhoncus aliquet pulvinar sed,r,amet sem,kg,348.84,833.08,257.72,io,pr
i,purus,penatibus et,magna bibendum imperdiet nullam orci pede,p,dapibus at,m,616.19,394.17,160.43,amet lobortis sapien sapien,9.32,455.21,165.52,583.76,lobortis ligula,non mauris morbi non,9.34,o,eget congue,convallis eget eleifend,ultrices mattis odio donec vitae nisi nam,s,pellentesque quisque,%,890.51,281.53,439.41,io,ps
r,aenean auctor,euismod scelerisque,risus dapibus augue vel accumsan,i,mauris lacinia sapien,m,48.09,21.0,374.34,lorem id ligula,0.28,335.41,641.93,248.85,sed ante,curabitur at ipsum,0.22,s,sed accumsan,lacus curabitur at,enim in tempor turpis nec euismod scelerisque,p,est donec odio,%,343.59,503.36,739.26,rs,ip
s,viverra,mus vivamus,integer pede justo lacinia eget tincidunt,o,eleifend luctus,m,622.64,268.16,408.37,eleifend donec ut dolor,6.03,235.63,75.2,251.35,vestibulum ante,quisque ut erat curabitur,0.25,o,primis in,iaculis congue,lectus in est risus auctor sed tristique,i,tincidunt nulla mollis,%,54.28,739.01,361.39,so,oi
i,elit,in libero ut,mauris non ligula pellentesque ultrices,s,accumsan tellus,USD,509.48,324.17,4.66,vitae nisl aenean,1.56,938.88,482.99,215.51,nam dui,bibendum felis sed,2.73,s,sit amet,risus dapibus augue,vestibulum rutrum rutrum neque aenean auctor gravida,p,montes nascetur,USD,650.49,143.64,221.56,is,sp
s,sapien,velit vivamus,curae mauris viverra diam vitae quam,i,commodo vulputate,%,784.49,157.0,600.13,convallis morbi odio,8.89,725.46,837.56,173.67,phasellus sit,vestibulum velit id,0.77,o,nec dui,vestibulum sed magna,luctus cum sociis natoque penatibus et magnis,o,quisque porta,%,816.32,686.82,523.65,so,io
i,turpis elementum,ligula in,fusce posuere felis sed lacus morbi sem,s,eleifend quam,%,833.25,493.09,603.47,et ultrices posuere,3.48,475.75,462.81,484.25,sit,sit amet,3.37,s,semper,nec euismod,augue aliquam erat volutpat in congue etiam,i,congue diam,%,975.65,95.79,787.28,is,si
r,commodo placerat,magna at nunc,sagittis sapien cum sociis natoque,p,consequat varius integer,kg,406.68,541.98,92.95,vulputate vitae nisl aenean,8.18,418.77,283.85,951.4,pede lobortis,libero nam,5.12,o,nunc,turpis donec,nulla quisque arcu libero rutrum ac lobortis,r,aliquam non mauris,%,51.48,752.33,626.83,ro,pr
o,consequat dui,eget tempus,eget rutrum at lorem integer tincidunt ante,o,massa id,kg,77.8,745.19,490.94,odio elementum eu,7.65,756.93,795.18,410.71,nam,vestibulum ac est,9.12,i,lectus suspendisse,in tempus,mauris ullamcorper purus sit amet nulla quisque,r,enim blandit,m,942.19,821.34,637.28,oi,or
p,quis,tellus nisi eu,a odio in hac habitasse,i,nascetur ridiculus mus,kg,641.3,445.76,898.29,pretium quis lectus suspendisse,2.21,148.56,447.83,396.28,nam,quam pharetra magna,5.21,i,iaculis,sit amet,nulla eget eros elementum pellentesque quisque porta,r,libero nullam,%,253.15,229.78,386.59,pi,ir
i,primis in,sodales scelerisque,varius integer ac leo pellentesque,s,in quis,%,579.57,676.81,254.37,morbi porttitor lorem id,4.11,626.62,838.19,973.44,etiam faucibus,augue aliquam erat volutpat,7.55,s,lacus,erat quisque erat,orci mauris lacinia sapien quis libero nullam,p,tortor id,m,215.09,214.29,834.35,is,sp
i,sed,volutpat dui,imperdiet et commodo vulputate justo in blandit,p,venenatis lacinia aenean,m,610.94,297.68,609.25,quis augue luctus,1.12,474.01,847.26,614.3,nonummy,donec ut,8.97,i,non,semper sapien,donec ut mauris eget massa tempor convallis,r,orci vehicula,%,784.56,489.18,359.31,ii,pr
o,orci mauris,augue vel accumsan,vestibulum velit id pretium iaculis,r,praesent id,%,900.19,689.25,198.07,sapien cursus vestibulum,2.98,129.89,459.76,992.48,mauris,blandit mi in porttitor,3.44,i,nunc,augue a suscipit,nec molestie sed justo pellentesque viverra pede,i,tristique fusce congue,USD,507.01,126.93,247.71,oi,ri
r,turpis enim,turpis nec,varius nulla facilisi cras non velit nec,p,odio cras,kg,382.33,806.25,270.7,ante ipsum primis,1.06,490.83,159.62,479.14,est risus,consequat dui nec,5.73,s,nec,tortor id nulla,vivamus in felis eu sapien cursus vestibulum,r,eget orci vehicula,m,997.0,696.9,465.55,rs,pr
s,ac consequat,quisque porta,semper rutrum nulla nunc purus,o,interdum mauris ullamcorper,m,86.47,595.39,686.58,magnis dis parturient montes,3.73,499.45,681.15,983.72,venenatis,semper porta,3.05,r,dolor sit,duis consequat dui,eleifend luctus ultricies eu nibh quisque id,r,eu orci mauris,%,24.27,778.93,311.91,sr,or
o,nunc,nibh ligula,eget vulputate ut ultrices vel augue vestibulum,p,consectetuer adipiscing,m,527.69,286.4,354.53,ornare imperdiet sapien urna,7.86,481.02,770.45,651.97,consequat ut,nisi nam ultrices,6.89,r,consequat,nam tristique,quisque ut erat curabitur gravida nisi at,o,semper sapien,%,622.73,199.05,736.66,or,po
i,ac,ultrices posuere,enim sit amet nunc viverra dapibus,r,et ultrices,kg,941.31,623.94,562.35,ligula in lacus,2.17,383.24,5.39,855.55,pede,in sapien iaculis congue,0.55,r,tristique,auctor gravida sem,ut mauris eget massa tempor convallis nulla,s,scelerisque mauris,kg,875.7,823.18,562.46,ir,rs
p,donec,venenatis lacinia aenean,consequat lectus in est risus auctor sed,p,elit proin interdum,USD,478.84,866.67,326.96,sollicitudin vitae consectetuer,4.07,751.14,326.22,127.68,blandit,consectetuer eget rutrum at,3.2,o,diam,lacus morbi,mattis odio donec vitae nisi nam ultrices,r,libero rutrum ac,kg,13.18,472.44,945.97,po,pr
i,nibh,sit amet turpis,aliquet pulvinar sed nisl nunc,o,non pretium,%,462.45,364.56,245.18,tincidunt lacus at,8.24,75.94,291.43,275.29,dolor vel,accumsan odio curabitur,6.17,r,curae mauris,enim blandit mi,augue a suscipit nulla elit ac nulla,i,vivamus in felis,m,903.64,377.41,705.58,ir,oi
o,erat tortor,amet diam,ut ultrices vel augue vestibulum,r,semper porta volutpat,kg,633.96,170.29,367.38,nulla nisl nunc,2.07,56.25,767.82,593.59,lorem vitae,in consequat ut,7.65,r,nisl,quis justo,posuere cubilia curae nulla dapibus dolor vel,o,proin leo,kg,204.41,80.15,900.98,or,ro
s,duis,sit amet diam,sapien sapien non mi integer ac,o,sit amet,%,562.56,547.52,134.11,suscipit nulla elit ac,9.84,838.62,91.09,401.68,diam cras,nulla dapibus dolor,5.07,s,libero nullam,quam pharetra,vel est donec odio justo sollicitudin ut,s,auctor gravida,%,516.97,169.4,973.71,ss,os
r,dapibus,sit amet erat,posuere nonummy integer non velit donec diam,p,ac consequat metus,%,643.1,816.56,505.73,ac tellus semper interdum,1.62,119.07,606.97,231.15,eget vulputate,ultrices mattis odio donec,0.17,o,nulla eget,quisque ut erat,ipsum praesent blandit lacinia erat vestibulum sed,p,nunc purus,USD,704.7,809.23,26.22,ro,pp
r,tristique fusce,interdum eu,integer non velit donec diam neque,r,lectus in,m,68.68,250.04,419.23,donec vitae nisi nam,6.51,756.22,824.86,564.44,duis bibendum,amet sem,4.87,o,morbi vel,ac est,morbi a ipsum integer a nibh in,i,quam suspendisse,m,227.78,120.39,678.97,ro,ri
o,amet,posuere felis sed,massa quis augue luctus tincidunt nulla,r,tristique fusce congue,m,644.31,394.21,411.22,sagittis dui vel nisl,8.16,545.11,983.07,306.12,et,amet consectetuer adipiscing elit,7.12,i,id,vestibulum ante,rutrum at lorem integer tincidunt ante vel,i,sed justo,kg,616.68,180.85,255.44,oi,ri
p,eros suspendisse,lorem vitae,ut nulla sed accumsan felis ut at,s,metus aenean fermentum,USD,252.83,80.12,998.62,magna ac consequat,1.45,533.57,133.78,31.12,pede,tellus nulla,5.6,s,ipsum,pede justo,non mauris morbi non lectus aliquam sit,o,nam dui,USD,365.8,330.23,112.87,ps,so
p,eu,orci luctus et,tincidunt lacus at velit vivamus vel,s,lorem ipsum,%,284.05,7.08,870.9,nunc donec quis orci,9.17,589.88,698.2,841.77,est lacinia,duis at,9.76,r,cubilia curae,vitae consectetuer eget,diam in magna bibendum imperdiet nullam orci,i,cum sociis natoque,USD,431.56,58.18,544.33,pr,si
r,nec nisi,metus vitae,mi in porttitor pede justo eu massa,o,montes nascetur,m,862.79,402.84,358.66,in libero ut massa,0.17,770.11,89.13,218.11,ac,posuere cubilia,5.77,i,vestibulum ante,augue quam,varius integer ac leo pellentesque ultrices mattis,i,natoque penatibus et,%,186.61,204.18,343.85,ri,oi
s,pharetra magna,pede libero quis,tortor risus dapibus augue vel accumsan,o,in hac habitasse,m,494.21,568.82,987.87,quam sapien varius ut,9.03,658.8,352.59,820.9,rhoncus,molestie hendrerit at,2.92,o,ultrices posuere,rhoncus dui vel,tincidunt ante vel ipsum praesent blandit lacinia,i,tellus nisi eu,%,498.82,970.52,359.99,so,oi
p,auctor,quam nec dui,morbi ut odio cras mi pede,r,imperdiet et commodo,USD,889.51,471.33,420.05,accumsan felis ut at,7.3,873.54,167.3,684.71,eu magna,vel augue,7.33,o,id,lacinia erat vestibulum,sagittis dui vel nisl duis ac nibh,i,parturient montes,m,789.06,47.03,451.28,po,ri
i,mauris enim,posuere cubilia,fusce lacus purus aliquet at feugiat,r,porttitor lorem id,m,189.93,345.88,587.84,ipsum praesent blandit,9.23,401.11,946.13,406.57,nibh in,lectus aliquam sit amet,2.43,i,pede,id luctus,ante vel ipsum praesent blandit lacinia erat,p,nulla eget eros,kg,81.87,515.29,957.12,ii,rp
o,nullam orci,est phasellus sit,non lectus aliquam sit amet,s,quam sollicitudin,kg,429.05,403.22,34.58,sed vestibulum sit amet,2.97,699.1,445.04,348.1,fusce,amet sem fusce,2.66,r,non,curabitur at ipsum,sed accumsan felis ut at dolor quis,o,tellus in sagittis,%,585.49,749.15,642.49,or,so
s,felis,consequat lectus in,dapibus at diam nam tristique tortor,s,etiam faucibus,kg,7.75,89.23,488.5,tellus in sagittis,2.46,806.18,915.05,987.25,quisque,in quis justo maecenas,0.64,s,suspendisse accumsan,a nibh in,congue risus semper porta volutpat quam pede,i,ligula pellentesque,%,869.85,210.63,680.14,ss,si
p,sed accumsan,eu interdum,lorem ipsum dolor sit amet,r,at diam,kg,163.55,588.38,185.28,platea dictumst aliquam,3.34,175.49,637.88,748.8,integer,ultrices aliquet maecenas leo,7.21,o,ac est,ut tellus,quam pede lobortis ligula sit amet eleifend,s,maecenas rhoncus,kg,193.47,854.0,764.39,po,rs
s,fusce,sapien iaculis congue,et magnis dis parturient montes,r,ac enim in,%,6.48,213.33,44.13,etiam faucibus cursus,6.42,929.9,768.96,662.52,pretium,elementum pellentesque,2.05,i,nunc,integer tincidunt ante,rhoncus dui vel sem sed sagittis nam,p,quam pharetra,m,949.03,258.78,276.27,si,rp
p,potenti,quis turpis eget,in lectus pellentesque at nulla,p,sit amet,kg,277.89,242.06,552.27,sem mauris laoreet,6.85,578.64,259.28,730.42,urna,lacus purus,3.48,p,sollicitudin,in hac habitasse,blandit ultrices enim lorem ipsum dolor sit,s,ullamcorper augue,kg,790.29,216.03,750.76,pp,ps
